Dissimilarity,weight,Long,Lat,Long,Lat,precip_PET_ratio,Isothermallity,Min_Temp_July,jan_rad,bulk_density,solpawhc,precip_PET_ratio,Isothermallity,Min_Temp_July,jan_rad,bulk_density,solpawhc
0.742857142857143,1,147.40375,-42.83625,147.09125,-41.25875,0.626867908,0.508,3.196,22.03,1.5612,103,0.993518894,0.488,2.253,22.22,1.6425,53
0.739130434782609,1,147.40375,-42.83625,147.10375,-41.25875,0.626867908,0.508,3.196,22.03,1.5612,103,1.170683584,0.485,1.709,21.91,1.6425,53
0.784313725490196,1,147.40375,-42.83625,147.10625,-41.25875,0.626867908,0.508,3.196,22.03,1.5612,103,1.210863208,0.484,1.599,21.97,1.6425,53
0.730769230769231,1,147.40375,-42.83625,147.16125,-41.25875,0.626867908,0.508,3.196,22.03,1.5612,103,0.794421767,0.493,2.992,22.72,1.57333,81
0.633802816901408,1,147.40375,-42.83625,146.89375,-41.21625,0.626867908,0.508,3.196,22.03,1.5612,103,0.829341794,0.483,3.397,22.72,1.54741,131
0.731958762886598,1,147.40375,-42.83625,148.20375,-41.19375,0.626867908,0.508,3.196,22.03,1.5612,103,0.991316877,0.49,3.872,21.35,1.1959,188
0.931372549019608,1,147.40375,-42.83625,146.54375,-41.18625,0.626867908,0.508,3.196,22.03,1.5612,103,0.67005816,0.495,3.924,23.78,1.427,151
0.708333333333333,1,147.40375,-42.83625,146.93625,-41.12875,0.626867908,0.508,3.196,22.03,1.5612,103,0.876122561,0.478,3.566,21.31,1.6425,53
0.936170212765957,1,147.40375,-42.83625,147.59625,-41.08875,0.626867908,0.508,3.196,22.03,1.5612,103,0.707009001,0.505,4.147,23.63,1.63292,68
0.763636363636364,1,147.40375,-42.83625,145.92375,-41.08125,0.626867908,0.508,3.196,22.03,1.5612,103,0.841798558,0.499,4.636,23.19,1.39813,158
0.733333333333333,1,147.40375,-42.83625,145.95625,-41.06625,0.626867908,0.508,3.196,22.03,1.5612,103,0.858947573,0.494,4.509,23,1.39813,158
0.940594059405941,1,147.40375,-42.83625,145.52625,-41.00375,0.626867908,0.508,3.196,22.03,1.5612,103,1.292684125,0.489,4.448,22.57,1.43196,159
0.850220264317181,1,147.40375,-42.83625,147.38375,-40.98625,0.626867908,0.508,3.196,22.03,1.5612,103,0.655370479,0.499,4.618,23.72,1.63292,68
0.914110429447853,1,147.40375,-42.83625,144.66875,-40.95125,0.626867908,0.508,3.196,22.03,1.5612,103,1.072609302,0.483,6.431,23.31,1.22153,122
0.893617021276596,1,147.40375,-42.83625,145.03375,-40.91375,0.626867908,0.508,3.196,22.03,1.5612,103,1.096510339,0.51,5.195,23.01,1.39813,158
0.837209302325581,1,147.40375,-42.83625,148.13625,-40.86875,0.626867908,0.508,3.196,22.03,1.5612,103,0.60739221,0.462,6.663,23.3,1.63292,68
0.857868020304569,1,147.40375,-42.83625,144.71125,-40.86125,0.626867908,0.508,3.196,22.03,1.5612,103,1.035251172,0.478,6.479,22.97,1.22153,122
0.933774834437086,1,147.40375,-42.83625,144.83125,-40.72875,0.626867908,0.508,3.196,22.03,1.5612,103,0.896088944,0.49,6.608,23.8,1.22153,122
0.834710743801653,1,147.40375,-42.83625,148.17125,-40.53625,0.626867908,0.508,3.196,22.03,1.5612,103,0.574496295,0.447,6.685,23.22,1.49105,127
0.838709677419355,1,147.40375,-42.83625,147.87875,-40.31375,0.626867908,0.508,3.196,22.03,1.5612,103,0.563120051,0.459,6.418,23.81,1.49105,127
0.872,1,147.40375,-42.83625,147.75875,-40.06125,0.626867908,0.508,3.196,22.03,1.5612,103,0.585979066,0.452,6.533,24.22,1.49105,127
0.486486486486487,1,147.18125,-42.82625,147.32625,-42.82625,0.764272735,0.509,2.249,21.85,1.18117,176,0.580732974,0.51,3.339,22.27,1.5612,103
0.427083333333333,1,147.18125,-42.82625,147.17875,-42.82125,0.764272735,0.509,2.249,21.85,1.18117,176,0.75638232,0.509,2.229,21.68,1.18117,176
0.509433962264151,1,147.18125,-42.82625,147.16125,-42.81875,0.764272735,0.509,2.249,21.85,1.18117,176,1.077017359,0.495,1.712,20.92,1.18117,176
0.536082474226804,1,147.18125,-42.82625,147.68125,-42.79875,0.764272735,0.509,2.249,21.85,1.18117,176,0.72434497,0.51,3.701,21.48,1.5612,103
0.94949494949495,1,147.18125,-42.82625,145.96875,-42.78125,0.764272735,0.509,2.249,21.85,1.18117,176,3.771342015,0.449,0.969,16.69,1.38581,152
0.947712418300654,1,147.18125,-42.82625,146.63125,-42.77875,0.764272735,0.509,2.249,21.85,1.18117,176,1.782947394,0.485,0.758,19.78,1.18117,176
0.441176470588235,1,147.18125,-42.82625,147.28625,-42.76125,0.764272735,0.509,2.249,21.85,1.18117,176,0.527914314,0.515,3.082,23.23,1.5612,103
0.514563106796116,1,147.18125,-42.82625,147.01875,-42.75625,0.764272735,0.509,2.249,21.85,1.18117,176,0.570750611,0.517,1.655,23.08,1.61695,79
0.701298701298701,1,147.18125,-42.82625,147.47125,-42.73375,0.764272735,0.509,2.249,21.85,1.18117,176,0.540430028,0.516,3.114,22.61,1.49819,70
0.553072625698324,1,147.18125,-42.82625,147.08125,-42.71625,0.764272735,0.509,2.249,21.85,1.18117,176,0.74190611,0.509,1.487,21.56,1.56869,103
0.556818181818182,1,147.18125,-42.82625,147.74375,-42.70875,0.764272735,0.509,2.249,21.85,1.18117,176,0.859497991,0.503,2.975,20.41,1.31624,166
0.536082474226804,1,147.18125,-42.82625,147.73875,-42.70625,0.764272735,0.509,2.249,21.85,1.18117,176,0.847947907,0.504,2.999,20.77,1.31624,166
0.45360824742268,1,147.18125,-42.82625,147.73875,-42.70375,0.764272735,0.509,2.249,21.85,1.18117,176,0.846866729,0.504,2.987,21,1.31624,166
0.767195767195767,1,147.18125,-42.82625,147.26625,-42.69375,0.764272735,0.509,2.249,21.85,1.18117,176,0.502142299,0.518,2.7,23.59,1.53221,62
0.649350649350649,1,147.18125,-42.82625,147.55875,-42.69125,0.764272735,0.509,2.249,21.85,1.18117,176,0.665424051,0.512,2.84,21.67,1.6425,53
0.94392523364486,1,147.18125,-42.82625,146.58125,-42.67875,0.764272735,0.509,2.249,21.85,1.18117,176,2.319956151,0.435,-1.109,18.63,1.13133,189
0.742857142857143,1,147.18125,-42.82625,147.27625,-42.67875,0.764272735,0.509,2.249,21.85,1.18117,176,0.505087084,0.518,2.623,23.25,1.53221,62
0.630573248407643,1,147.18125,-42.82625,147.88125,-42.67875,0.764272735,0.509,2.249,21.85,1.18117,176,0.638390791,0.517,4.048,22.32,1.6425,53
1,1,147.18125,-42.82625,146.55875,-42.67125,0.764272735,0.509,2.249,21.85,1.18117,176,2.583045894,0.414,-1.592,18.82,1.13133,189
0.808383233532934,1,147.18125,-42.82625,146.60625,-42.66375,0.764272735,0.509,2.249,21.85,1.18117,176,2.06953421,0.454,-0.645,19.91,1.13133,189
0.484536082474227,1,147.18125,-42.82625,147.58875,-42.66375,0.764272735,0.509,2.249,21.85,1.18117,176,0.841487112,0.499,2.108,21.45,1.6425,53
0.508571428571429,1,147.18125,-42.82625,147.63125,-42.64125,0.764272735,0.509,2.249,21.85,1.18117,176,0.727018895,0.511,2.683,21.96,1.6425,53
0.565217391304348,1,147.18125,-42.82625,147.62125,-42.63375,0.764272735,0.509,2.249,21.85,1.18117,176,0.759109809,0.507,2.435,21.31,1.6425,53
0.492537313432836,1,147.18125,-42.82625,147.61875,-42.63125,0.764272735,0.509,2.249,21.85,1.18117,176,0.764726663,0.507,2.381,20.96,1.6425,53
0.479166666666667,1,147.18125,-42.82625,147.62375,-42.62875,0.764272735,0.509,2.249,21.85,1.18117,176,0.772799052,0.506,2.346,21.51,1.6425,53
0.636363636363636,1,147.18125,-42.82625,147.63625,-42.61875,0.764272735,0.509,2.249,21.85,1.18117,176,0.753191689,0.508,2.437,21.69,1.6425,53
0.681528662420382,1,147.18125,-42.82625,147.79125,-42.59875,0.764272735,0.509,2.249,21.85,1.18117,176,0.614204562,0.518,3.392,22.28,1.61695,79
0.472118959107807,1,147.18125,-42.82625,147.80125,-42.58625,0.764272735,0.509,2.249,21.85,1.18117,176,0.611714889,0.518,3.364,22.29,1.61695,79
0.511363636363636,1,147.18125,-42.82625,147.82875,-42.58375,0.764272735,0.509,2.249,21.85,1.18117,176,0.68830578,0.513,3.154,21.37,1.6425,53
0.491525423728814,1,147.18125,-42.82625,147.41125,-42.57875,0.764272735,0.509,2.249,21.85,1.18117,176,0.498801655,0.52,2.425,22.5,1.58424,85
0.423255813953488,1,147.18125,-42.82625,147.82875,-42.56125,0.764272735,0.509,2.249,21.85,1.18117,176,0.595902659,0.518,3.378,22,1.6425,53
0.95,1,147.18125,-42.82625,146.30875,-42.55625,0.764272735,0.509,2.249,21.85,1.18117,176,2.335840831,0.49,0.433,18.62,1.38581,152
0.534883720930233,1,147.18125,-42.82625,147.86875,-42.55125,0.764272735,0.509,2.249,21.85,1.18117,176,0.610003172,0.517,3.401,21.41,1.6425,53
0.927083333333333,1,147.18125,-42.82625,145.48125,-42.54875,0.764272735,0.509,2.249,21.85,1.18117,176,2.415855355,0.518,4.805,18.72,1.38581,152
0.590909090909091,1,147.18125,-42.82625,147.29875,-42.54125,0.764272735,0.509,2.249,21.85,1.18117,176,0.906774908,0.486,0.386,20.83,1.6425,53
0.531428571428571,1,147.18125,-42.82625,147.31875,-42.52375,0.764272735,0.509,2.249,21.85,1.18117,176,0.625145587,0.51,1.326,22.5,1.56869,103
0.589189189189189,1,147.18125,-42.82625,147.71125,-42.48625,0.764272735,0.509,2.249,21.85,1.18117,176,0.687469821,0.512,2.178,21.68,1.56869,103
0.521276595744681,1,147.18125,-42.82625,147.28375,-42.41125,0.764272735,0.509,2.249,21.85,1.18117,176,0.673949636,0.503,0.461,22.33,1.58424,85
0.92156862745098,1,147.18125,-42.82625,145.63125,-42.35875,0.764272735,0.509,2.249,21.85,1.18117,176,3.295918738,0.516,3.21,16.83,1.40607,167
0.333333333333333,1,147.18125,-42.82625,147.88625,-42.35875,0.764272735,0.509,2.249,21.85,1.18117,176,0.620661501,0.515,2.414,22.26,1.6425,53
0.714285714285714,1,147.18125,-42.82625,146.96875,-42.31625,0.764272735,0.509,2.249,21.85,1.18117,176,0.570405207,0.52,-0.022,23,1.62184,64
0.642458100558659,1,147.18125,-42.82625,147.92125,-42.23125,0.764272735,0.509,2.249,21.85,1.18117,176,0.638924692,0.51,1.775,20.99,1.6425,53
0.641975308641975,1,147.18125,-42.82625,147.99375,-42.20375,0.764272735,0.509,2.249,21.85,1.18117,176,0.635130773,0.514,2.239,22.32,1.6425,53
0.551912568306011,1,147.18125,-42.82625,147.83125,-42.17125,0.764272735,0.509,2.249,21.85,1.18117,176,0.597829933,0.511,1.24,22.6,1.6425,53
0.920454545454545,1,147.18125,-42.82625,146.16875,-42.15125,0.764272735,0.509,2.249,21.85,1.18117,176,2.242868277,0.495,-0.203,19.73,0.828696,168
0.703225806451613,1,147.18125,-42.82625,148.04625,-42.13625,0.764272735,0.509,2.249,21.85,1.18117,176,0.518574215,0.527,3.453,22.48,1.6425,53
0.740384615384615,1,147.18125,-42.82625,147.84125,-42.12875,0.764272735,0.509,2.249,21.85,1.18117,176,0.608659515,0.512,1.191,22.77,1.6425,53
0.913513513513514,1,147.18125,-42.82625,146.21125,-42.12625,0.764272735,0.509,2.249,21.85,1.18117,176,1.925935353,0.499,-0.208,20.47,0.828696,168
0.607142857142857,1,147.18125,-42.82625,147.36375,-42.08875,0.764272735,0.509,2.249,21.85,1.18117,176,0.437438587,0.523,0.783,23.48,1.55536,103
0.570552147239264,1,147.18125,-42.82625,147.95875,-42.07375,0.764272735,0.509,2.249,21.85,1.18117,176,0.530766635,0.525,2.479,21.4,1.6425,53
0.595092024539877,1,147.18125,-42.82625,147.95625,-42.05625,0.764272735,0.509,2.249,21.85,1.18117,176,0.564052093,0.522,2.106,22.5,1.6425,53
0.625,1,147.18125,-42.82625,148.26875,-42.05375,0.764272735,0.509,2.249,21.85,1.18117,176,0.626389234,0.526,4.519,22.19,1.59128,77
0.690322580645161,1,147.18125,-42.82625,147.42875,-42.02875,0.764272735,0.509,2.249,21.85,1.18117,176,0.472892679,0.523,0.719,23.34,1.60479,68
0.670886075949367,1,147.18125,-42.82625,147.97125,-42.01875,0.764272735,0.509,2.249,21.85,1.18117,176,0.576132087,0.522,2.041,21.83,1.6425,53
0.515463917525773,1,147.18125,-42.82625,147.96875,-42.01625,0.764272735,0.509,2.249,21.85,1.18117,176,0.60824548,0.519,1.786,21.78,1.6425,53
0.688888888888889,1,147.18125,-42.82625,147.19125,-42.00875,0.764272735,0.509,2.249,21.85,1.18117,176,1.070251241,0.472,-1.321,22.39,1.18117,176
0.58252427184466,1,147.18125,-42.82625,147.93125,-42.00625,0.764272735,0.509,2.249,21.85,1.18117,176,0.579088987,0.52,1.678,22.34,1.6425,53
0.632911392405063,1,147.18125,-42.82625,147.98125,-42.00625,0.764272735,0.509,2.249,21.85,1.18117,176,0.516137171,0.528,2.698,22.94,1.6425,53
0.601990049751244,1,147.18125,-42.82625,147.36375,-41.99875,0.764272735,0.509,2.249,21.85,1.18117,176,0.507341568,0.52,0.507,23.33,1.60479,68
0.647058823529412,1,147.18125,-42.82625,148.14125,-41.99625,0.764272735,0.509,2.249,21.85,1.18117,176,0.567469181,0.529,3.929,22.68,1.6425,53
0.647727272727273,1,147.18125,-42.82625,147.83125,-41.97375,0.764272735,0.509,2.249,21.85,1.18117,176,0.843322515,0.501,0.398,22.23,1.18117,176
0.954545454545455,1,147.18125,-42.82625,145.84625,-41.97125,0.764272735,0.509,2.249,21.85,1.18117,176,3.747420924,0.468,0.037,17.14,1.11188,180
0.655913978494624,1,147.18125,-42.82625,147.83125,-41.97125,0.764272735,0.509,2.249,21.85,1.18117,176,0.845421852,0.501,0.393,22.23,1.18117,176
0.725,1,147.18125,-42.82625,147.43375,-41.96375,0.764272735,0.509,2.249,21.85,1.18117,176,0.473628554,0.524,0.839,23.17,1.55491,90
0.709497206703911,1,147.18125,-42.82625,148.23375,-41.96375,0.764272735,0.509,2.249,21.85,1.18117,176,0.628240656,0.528,4.424,21.78,1.59128,77
0.850931677018633,1,147.18125,-42.82625,148.22125,-41.96125,0.764272735,0.509,2.249,21.85,1.18117,176,0.598712559,0.53,4.563,22.28,1.59128,77
0.938325991189427,1,147.18125,-42.82625,145.83125,-41.95875,0.764272735,0.509,2.249,21.85,1.18117,176,3.959794527,0.455,-0.243,17.08,1.11188,180
0.851428571428571,1,147.18125,-42.82625,145.48125,-41.91875,0.764272735,0.509,2.249,21.85,1.18117,176,3.929412971,0.48,1.762,15.57,1.40607,167
0.680365296803653,1,147.18125,-42.82625,147.84625,-41.90625,0.764272735,0.509,2.249,21.85,1.18117,176,1.224993261,0.471,-0.132,20.75,1.18117,176
0.591623036649215,1,147.18125,-42.82625,148.14875,-41.85625,0.764272735,0.509,2.249,21.85,1.18117,176,0.698484345,0.523,2.831,21.74,1.6425,53
0.451612903225806,1,147.18125,-42.82625,148.09875,-41.84875,0.764272735,0.509,2.249,21.85,1.18117,176,0.659877452,0.523,2.46,21.66,1.6425,53
0.68,1,147.18125,-42.82625,148.25875,-41.84625,0.764272735,0.509,2.249,21.85,1.18117,176,0.65155397,0.529,4.614,21.75,1.6425,53
0.53448275862069,1,147.18125,-42.82625,148.24875,-41.82125,0.764272735,0.509,2.249,21.85,1.18117,176,0.6281469,0.531,4.628,21.37,1.6425,53
0.598039215686274,1,147.18125,-42.82625,147.24125,-41.81875,0.764272735,0.509,2.249,21.85,1.18117,176,0.509808567,0.52,1.086,23.62,1.55536,103
0.705521472392638,1,147.18125,-42.82625,147.32125,-41.80875,0.764272735,0.509,2.249,21.85,1.18117,176,0.52031365,0.52,1.043,23.27,1.55536,103
0.733333333333333,1,147.18125,-42.82625,146.91125,-41.80625,0.764272735,0.509,2.249,21.85,1.18117,176,0.984410513,0.515,-0.045,22.05,1.18117,176
0.647058823529412,1,147.18125,-42.82625,147.33375,-41.79375,0.764272735,0.509,2.249,21.85,1.18117,176,0.556628767,0.518,0.853,23.08,1.6425,53
0.858064516129032,1,147.18125,-42.82625,145.62875,-41.77125,0.764272735,0.509,2.249,21.85,1.18117,176,2.78022411,0.498,2.085,17.66,1.11188,180
0.954285714285714,1,147.18125,-42.82625,146.70125,-41.74875,0.764272735,0.509,2.249,21.85,1.18117,176,1.969582141,0.442,-2.131,21.12,1.13133,189
0.682926829268293,1,147.18125,-42.82625,147.46375,-41.73375,0.764272735,0.509,2.249,21.85,1.18117,176,0.537942251,0.519,1.079,23.2,1.55536,103
0.965317919075145,1,147.18125,-42.82625,145.75125,-41.72875,0.764272735,0.509,2.249,21.85,1.18117,176,3.36604349,0.46,0.306,17.63,1.11188,180
0.666666666666667,1,147.18125,-42.82625,146.92625,-41.72375,0.764272735,0.509,2.249,21.85,1.18117,176,0.760598878,0.516,0.489,22.79,1.55536,103
0.655737704918033,1,147.18125,-42.82625,147.25375,-41.71625,0.764272735,0.509,2.249,21.85,1.18117,176,0.597932829,0.514,0.961,23.28,1.6425,53
0.814432989690722,1,147.18125,-42.82625,146.66125,-41.70875,0.764272735,0.509,2.249,21.85,1.18117,176,1.131289659,0.51,-0.029,21.92,1.18117,176
0.80327868852459,1,147.18125,-42.82625,146.71125,-41.70875,0.764272735,0.509,2.249,21.85,1.18117,176,1.687688497,0.477,-1.355,20.82,1.18117,176
0.952095808383233,1,147.18125,-42.82625,145.94875,-41.70375,0.764272735,0.509,2.249,21.85,1.18117,176,3.599653768,0.425,-1.001,18.03,1.11188,180
0.888888888888889,1,147.18125,-42.82625,145.97125,-41.69625,0.764272735,0.509,2.249,21.85,1.18117,176,2.989569386,0.459,-0.231,18.8,1.11188,180
0.746478873239437,1,147.18125,-42.82625,147.24625,-41.68625,0.764272735,0.509,2.249,21.85,1.18117,176,0.5501076,0.514,1.287,23.51,1.55536,103
0.788235294117647,1,147.18125,-42.82625,147.27125,-41.68125,0.764272735,0.509,2.249,21.85,1.18117,176,0.544537383,0.514,1.345,23.52,1.55536,103
0.53,1,147.18125,-42.82625,146.82375,-41.67875,0.764272735,0.509,2.249,21.85,1.18117,176,0.927946779,0.513,0.176,21.43,1.18117,176
0.672955974842767,1,147.18125,-42.82625,148.23125,-41.67125,0.764272735,0.509,2.249,21.85,1.18117,176,1.023908636,0.512,2.458,20.09,1.6425,53
0.714285714285714,1,147.18125,-42.82625,148.18375,-41.66375,0.764272735,0.509,2.249,21.85,1.18117,176,1.023322126,0.497,1.608,21.1,1.18117,176
0.777777777777778,1,147.18125,-42.82625,146.70625,-41.64625,0.764272735,0.509,2.249,21.85,1.18117,176,1.680555556,0.493,-0.528,20.59,1.18117,176
0.896103896103896,1,147.18125,-42.82625,145.94625,-41.63875,0.764272735,0.509,2.249,21.85,1.18117,176,2.93851171,0.46,-0.002,18.4,1.11188,180
0.757575757575758,1,147.18125,-42.82625,147.47125,-41.60375,0.764272735,0.509,2.249,21.85,1.18117,176,0.646756956,0.514,1.154,23.11,1.55536,103
0.591836734693878,1,147.18125,-42.82625,148.22125,-41.56375,0.764272735,0.509,2.249,21.85,1.18117,176,0.973288154,0.509,2.381,20.1,1.1959,188
0.848648648648649,1,147.18125,-42.82625,145.93875,-41.56125,0.764272735,0.509,2.249,21.85,1.18117,176,2.680603508,0.466,0.411,19.55,1.11188,180
0.856209150326797,1,147.18125,-42.82625,145.93125,-41.55375,0.764272735,0.509,2.249,21.85,1.18117,176,2.740192195,0.462,0.342,19.05,1.11188,180
0.609467455621302,1,147.18125,-42.82625,146.33375,-41.55125,0.764272735,0.509,2.249,21.85,1.18117,176,1.247250206,0.509,1.688,21.51,1.38016,163
0.856410256410256,1,147.18125,-42.82625,146.00375,-41.54375,0.764272735,0.509,2.249,21.85,1.18117,176,2.41464772,0.471,0.521,19.71,1.12104,229
0.745222929936306,1,147.18125,-42.82625,148.10625,-41.52125,0.764272735,0.509,2.249,21.85,1.18117,176,1.109227091,0.486,1.325,20.77,1.1959,188
0.548872180451128,1,147.18125,-42.82625,147.10125,-41.50375,0.764272735,0.509,2.249,21.85,1.18117,176,0.658360305,0.502,1.627,23.27,1.55536,103
0.58477508650519,1,147.18125,-42.82625,147.13375,-41.46875,0.764272735,0.509,2.249,21.85,1.18117,176,0.673991763,0.5,1.834,23.22,1.60661,75
0.813953488372093,1,147.18125,-42.82625,145.21875,-41.46375,0.764272735,0.509,2.249,21.85,1.18117,176,2.018368509,0.492,3.77,19.79,1.40607,167
0.617391304347826,1,147.18125,-42.82625,147.49375,-41.46375,0.764272735,0.509,2.249,21.85,1.18117,176,0.898386145,0.505,1.207,22.58,1.1959,188
0.867469879518072,1,147.18125,-42.82625,145.68375,-41.45375,0.764272735,0.509,2.249,21.85,1.18117,176,2.125094886,0.474,1.464,20.77,1.12104,229
0.630057803468208,1,147.18125,-42.82625,147.11625,-41.44875,0.764272735,0.509,2.249,21.85,1.18117,176,0.583010134,0.498,2.189,23.53,1.6425,53
0.732484076433121,1,147.18125,-42.82625,148.25125,-41.44625,0.764272735,0.509,2.249,21.85,1.18117,176,0.667890954,0.52,3.527,21.76,1.427,151
0.821656050955414,1,147.18125,-42.82625,145.60125,-41.43625,0.764272735,0.509,2.249,21.85,1.18117,176,2.236842105,0.473,1.568,20.32,1.12104,229
0.886792452830189,1,147.18125,-42.82625,145.81125,-41.43625,0.764272735,0.509,2.249,21.85,1.18117,176,1.971621669,0.477,1.517,21.02,1.46485,135
0.771428571428571,1,147.18125,-42.82625,145.35625,-41.41625,0.764272735,0.509,2.249,21.85,1.18117,176,2.115114517,0.487,3.188,20.26,1.40607,167
0.583815028901734,1,147.18125,-42.82625,146.66625,-41.38875,0.764272735,0.509,2.249,21.85,1.18117,176,0.993951182,0.5,1.547,22.61,1.6425,53
0.845161290322581,1,147.18125,-42.82625,145.57625,-41.37125,0.764272735,0.509,2.249,21.85,1.18117,176,2.153307293,0.472,1.882,20.38,1.12104,229
0.562841530054645,1,147.18125,-42.82625,147.32125,-41.37125,0.764272735,0.509,2.249,21.85,1.18117,176,1.024060969,0.499,1.581,22.54,1.6425,53
0.565217391304348,1,147.18125,-42.82625,146.59375,-41.36625,0.764272735,0.509,2.249,21.85,1.18117,176,0.850470713,0.502,2.264,22.91,1.6425,53
0.681592039800995,1,147.18125,-42.82625,146.82625,-41.36625,0.764272735,0.509,2.249,21.85,1.18117,176,0.88753573,0.495,1.827,22.73,1.39813,158
0.825688073394495,1,147.18125,-42.82625,145.01375,-41.32875,0.764272735,0.509,2.249,21.85,1.18117,176,1.955440809,0.484,4.466,20.85,1.40607,167
0.564766839378238,1,147.18125,-42.82625,146.64875,-41.32375,0.764272735,0.509,2.249,21.85,1.18117,176,0.873985155,0.497,2.354,22.67,1.6425,53
0.604790419161677,1,147.18125,-42.82625,146.43875,-41.28625,0.764272735,0.509,2.249,21.85,1.18117,176,0.794571598,0.503,3.281,23.33,1.39813,158
0.777777777777778,1,147.18125,-42.82625,145.60875,-41.28125,0.764272735,0.509,2.249,21.85,1.18117,176,1.685671607,0.487,3.153,20.76,1.39813,158
0.75796178343949,1,147.18125,-42.82625,147.15375,-41.26375,0.764272735,0.509,2.249,21.85,1.18117,176,0.829821417,0.493,2.828,22.8,1.57333,81
0.666666666666667,1,147.18125,-42.82625,147.10875,-41.26125,0.764272735,0.509,2.249,21.85,1.18117,176,1.237440524,0.484,1.515,21.81,1.6425,53
0.60427807486631,1,147.18125,-42.82625,146.60625,-41.25875,0.764272735,0.509,2.249,21.85,1.18117,176,0.679403162,0.497,3.613,23.5,1.6425,53
0.532338308457711,1,147.18125,-42.82625,147.09125,-41.25875,0.764272735,0.509,2.249,21.85,1.18117,176,0.993518894,0.488,2.253,22.22,1.6425,53
0.537688442211055,1,147.18125,-42.82625,147.10375,-41.25875,0.764272735,0.509,2.249,21.85,1.18117,176,1.170683584,0.485,1.709,21.91,1.6425,53
0.656441717791411,1,147.18125,-42.82625,147.10625,-41.25875,0.764272735,0.509,2.249,21.85,1.18117,176,1.210863208,0.484,1.599,21.97,1.6425,53
0.612121212121212,1,147.18125,-42.82625,147.16125,-41.25875,0.764272735,0.509,2.249,21.85,1.18117,176,0.794421767,0.493,2.992,22.72,1.57333,81
0.477832512315271,1,147.18125,-42.82625,146.89375,-41.21625,0.764272735,0.509,2.249,21.85,1.18117,176,0.829341794,0.483,3.397,22.72,1.54741,131
0.708860759493671,1,147.18125,-42.82625,148.20375,-41.19375,0.764272735,0.509,2.249,21.85,1.18117,176,0.991316877,0.49,3.872,21.35,1.1959,188
